timestamp,temperature_C
2025-12-05T12:08:52.962052,23.1
2025-12-05T12:08:53.992605,23.4
2025-12-05T12:08:54.960167,23.5
2025-12-05T12:08:55.962700,23.7
2025-12-05T12:08:56.978061,23.7
2025-12-05T12:08:57.956919,23.8
2025-12-05T12:08:58.983075,23.8
2025-12-05T12:08:59.961101,23.7
2025-12-05T12:09:00.955176,23.5
2025-12-05T12:09:01.982395,23.5
2025-12-05T12:09:02.962732,23.3
2025-12-05T12:09:03.987183,23.3
2025-12-05T12:09:04.956894,23.2
2025-12-05T12:09:05.956068,23.1
2025-12-05T12:09:06.972044,23.0
2025-12-05T12:09:07.960239,22.9
2025-12-05T12:09:08.989120,22.9
2025-12-05T12:09:09.959232,22.8
2025-12-05T12:09:10.961243,22.7
2025-12-05T12:09:11.974898,22.7
2025-12-05T12:09:12.957177,22.6
2025-12-05T12:09:13.992311,22.6
2025-12-05T12:09:14.953701,22.5
2025-12-05T12:09:15.952842,22.5
2025-12-05T12:09:16.976889,22.5
2025-12-05T12:09:17.962494,22.4
2025-12-05T12:09:18.984083,22.4
2025-12-05T12:09:19.958853,22.3
2025-12-05T12:09:20.955528,22.3
2025-12-05T12:09:21.964598,22.2
2025-12-05T12:09:22.959577,22.2
2025-12-05T12:09:23.987175,22.2
2025-12-05T12:09:24.962188,22.2
2025-12-05T12:09:25.958979,22.1
2025-12-05T12:09:26.968783,22.1
2025-12-05T12:09:27.962334,22.1
2025-12-05T12:09:28.987982,22.0
2025-12-05T12:09:29.966124,22.0
2025-12-05T12:09:30.953576,22.0
2025-12-05T12:09:31.974528,21.9
2025-12-05T12:09:32.961668,21.9
2025-12-05T12:09:33.998714,21.8
2025-12-05T12:09:34.956368,21.8
2025-12-05T12:09:35.959245,21.8
2025-12-05T12:09:36.978431,21.8
2025-12-05T12:09:37.959339,21.7
2025-12-05T12:09:38.982164,21.7
2025-12-05T12:09:39.958160,21.7
2025-12-05T12:09:40.962070,21.7
2025-12-05T12:09:43.993575,217.0
2025-12-05T12:09:44.962020,216.0
2025-12-05T12:09:45.961833,216.0
2025-12-05T12:09:51.282496,21.5
2025-12-05T12:09:52.292929,21.5
2025-12-05T12:09:53.291748,21.5
2025-12-05T12:09:54.281682,21.5
2025-12-05T12:09:55.291516,21.5
2025-12-05T12:09:56.295754,21.5
2025-12-05T12:09:57.282556,21.5
2025-12-05T12:09:58.282662,21.4
2025-12-05T12:09:59.282337,21.4
2025-12-05T12:10:00.288617,21.4
2025-12-05T12:10:01.314752,21.4
2025-12-05T12:10:02.333611,21.4
2025-12-05T12:10:26.805603,21.3
2025-12-05T12:10:27.352045,21.3
2025-12-05T12:10:28.285821,21.2
2025-12-05T12:10:29.288952,21.2
2025-12-05T12:10:30.308460,222.0
2025-12-05T12:10:31.359475,21.2
2025-12-05T12:10:32.324108,21.2
2025-12-05T12:10:33.281852,21.2
2025-12-05T12:10:34.324972,21.2
2025-12-05T12:10:35.293343,21.2
2025-12-05T12:10:36.327367,21.2
2025-12-05T12:10:37.309603,21.2
2025-12-05T12:10:38.281541,21.2
2025-12-05T12:10:39.282041,21.2
2025-12-05T12:10:40.281609,21.2
2025-12-05T12:10:41.331317,21.2
2025-12-05T12:10:42.313723,21.1
2025-12-05T12:10:43.280988,21.1
2025-12-05T12:10:44.284204,21.1
2025-12-05T12:10:45.300620,21.2
2025-12-05T12:10:46.335719,21.2
2025-12-05T12:10:47.302326,21.2
2025-12-05T12:10:48.319783,21.2
2025-12-05T12:10:49.282286,21.2
2025-12-05T12:10:50.282266,21.2
2025-12-05T12:10:51.339297,21.2
2025-12-05T12:10:52.305633,21.2
2025-12-05T12:10:53.323553,21.2
2025-12-05T12:10:54.324487,21.1
2025-12-05T12:10:55.310790,21.1
2025-12-05T12:10:56.293483,21.1
2025-12-05T12:10:57.310646,21.1
2025-12-05T12:10:58.295655,21.1
2025-12-05T12:10:59.329743,21.1
2025-12-05T12:11:00.297557,21.1
2025-12-05T12:11:01.281557,21.1
2025-12-05T12:11:02.299241,21.1
2025-12-05T12:11:03.299160,21.1
2025-12-05T12:11:04.317395,21.1
2025-12-05T12:11:05.285529,21.1
2025-12-05T12:11:06.334312,21.1
2025-12-05T12:11:07.282009,21.1
2025-12-05T12:11:08.281557,21.1
2025-12-05T12:11:09.336891,21.1
2025-12-05T12:11:10.296801,21.1
2025-12-05T12:11:11.290302,21.1
2025-12-05T12:11:12.281805,21.1
2025-12-05T12:11:13.290336,21.1
2025-12-05T12:11:14.291496,21.1
2025-12-05T12:11:15.308326,21.1
2025-12-05T12:11:16.292731,21.1
2025-12-05T12:11:17.309324,21.1
2025-12-05T12:11:18.281551,21.1
2025-12-05T12:11:19.327442,21.1
2025-12-05T12:11:20.297157,21.1
2025-12-05T12:11:21.282461,21.1
2025-12-05T12:11:22.296505,21.1
2025-12-05T12:11:23.281726,21.1
2025-12-05T12:11:24.314952,21.1
2025-12-05T12:11:25.284760,21.1
2025-12-05T12:11:26.300523,21.1
2025-12-05T12:11:27.300806,21.1
2025-12-05T12:11:28.280820,21.1
2025-12-05T12:11:29.285238,21.1
2025-12-05T12:11:30.320380,21.1
2025-12-05T12:11:31.288290,21.1
2025-12-05T12:11:32.282419,21.1
2025-12-05T12:11:33.306415,21.1
2025-12-05T12:11:34.291422,21.1
2025-12-05T12:11:35.282031,21.1
2025-12-05T12:11:36.282351,21.1
2025-12-05T12:11:37.309318,21.1
2025-12-05T12:11:38.308986,21.1
2025-12-05T12:11:39.328041,21.1
2025-12-05T12:11:40.281542,21.1
2025-12-05T12:11:41.281513,21.1
2025-12-05T12:11:42.282310,21.1
2025-12-05T12:11:43.285403,21.1
2025-12-05T12:11:44.314734,21.1
2025-12-05T12:11:45.281879,21.1
2025-12-05T12:11:46.337965,21.1
2025-12-05T12:11:47.301714,21.1
2025-12-05T12:11:48.281995,21.1
2025-12-05T12:11:49.285565,21.1
2025-12-05T12:11:50.287123,21.1
2025-12-05T12:11:51.338405,21.1
2025-12-05T12:11:52.304084,21.1
2025-12-05T12:11:53.306603,21.1
2025-12-05T12:11:54.324019,21.1
2025-12-05T12:11:55.291331,21.1
2025-12-05T12:11:56.281738,21.1
2025-12-05T12:11:57.281930,21.1
2025-12-05T12:11:58.293332,21.1
2025-12-05T12:11:59.327935,21.1
2025-12-05T12:12:00.281734,21.1
2025-12-05T12:12:01.330351,21.1
2025-12-05T12:12:02.282146,21.1
2025-12-05T12:12:03.313312,21.1
2025-12-05T12:12:04.314495,21.1
2025-12-05T12:12:05.282491,21.1
2025-12-05T12:12:06.333289,21.1
2025-12-05T12:12:07.282288,21.1
2025-12-05T12:12:08.281961,21.1
2025-12-05T12:12:09.286004,21.1
2025-12-05T12:12:10.281171,21.1
2025-12-05T12:12:11.288674,21.1
2025-12-05T12:12:12.305690,21.1
2025-12-05T12:12:13.289650,21.1
2025-12-05T12:12:14.321481,21.1
2025-12-05T12:12:15.281893,21.1
2025-12-05T12:12:16.281892,21.1
2025-12-05T12:12:17.308831,21.1
2025-12-05T12:12:18.282250,21.1
2025-12-05T12:12:19.294296,21.1
2025-12-05T12:12:20.281406,21.1
2025-12-05T12:12:21.328401,21.1
2025-12-05T12:12:22.281380,21.1
2025-12-05T12:12:23.295494,21.1
2025-12-05T12:12:24.282902,21.1
2025-12-05T12:12:25.281635,21.1
2025-12-05T12:12:26.284602,21.1
2025-12-05T12:12:27.281647,21.1
2025-12-05T12:12:28.318152,21.1
2025-12-05T12:12:29.287406,21.1
2025-12-05T12:12:30.303786,21.1
2025-12-05T12:12:31.286453,21.1
2025-12-05T12:12:32.281326,21.1
2025-12-05T12:12:33.305864,21.1
2025-12-05T12:12:34.281320,21.1
2025-12-05T12:12:35.281520,21.1
2025-12-05T12:12:36.281543,21.1
2025-12-05T12:12:37.292539,21.1
2025-12-05T12:12:38.291534,21.1
2025-12-05T12:12:39.281664,21.1
2025-12-05T12:12:40.295701,21.1
2025-12-05T12:12:41.281462,21.1
2025-12-05T12:12:42.312818,21.1
2025-12-05T12:12:43.281538,21.1
2025-12-05T12:12:44.281905,21.1
2025-12-05T12:12:45.284697,21.1
2025-12-05T12:12:46.299902,21.1
2025-12-05T12:12:47.300201,21.1
2025-12-05T12:12:48.300334,21.1
2025-12-05T12:12:49.317344,21.1
2025-12-05T12:12:50.302576,21.1
2025-12-05T12:12:51.281347,21.1
2025-12-05T12:12:52.304410,21.1
2025-12-05T12:12:53.320365,21.1
2025-12-05T12:12:54.290193,21.1
2025-12-05T12:12:55.282024,21.1
2025-12-05T12:12:56.291208,21.1
2025-12-05T12:12:57.307800,21.1
2025-12-05T12:12:58.291374,21.1
2025-12-05T12:12:59.309360,21.1
2025-12-05T12:13:00.294318,21.1
2025-12-05T12:13:01.282249,21.1
2025-12-05T12:13:02.311689,21.1
2025-12-05T12:13:03.297446,21.1
2025-12-05T12:13:04.313191,21.1
2025-12-05T12:13:05.281874,21.1
2025-12-05T12:13:06.332268,21.1
2025-12-05T12:13:07.299261,21.1
2025-12-05T12:13:08.304547,21.1
2025-12-05T12:13:09.291802,21.1
2025-12-05T12:13:10.287833,21.1
2025-12-05T12:13:11.304831,21.1
2025-12-05T12:13:12.281823,21.1
2025-12-05T12:13:13.281618,21.1
2025-12-05T12:13:14.320220,21.1
2025-12-05T12:13:15.281490,21.1
2025-12-05T12:13:16.282147,21.1
2025-12-05T12:13:17.281301,21.1
2025-12-05T12:13:18.309774,21.1
2025-12-05T12:13:19.308714,21.1
2025-12-05T12:13:20.281828,21.1
2025-12-05T12:13:21.327830,21.1
2025-12-05T12:13:22.312856,21.1
2025-12-05T12:13:23.285676,21.1
2025-12-05T12:13:24.329923,21.1
2025-12-05T12:13:25.296945,21.1
2025-12-05T12:13:26.301224,21.1
2025-12-05T12:13:27.282010,21.1
2025-12-05T12:13:28.281211,21.1
2025-12-05T12:13:29.316508,21.1
2025-12-05T12:13:30.284962,21.1
2025-12-05T12:13:31.286124,21.1
2025-12-05T12:13:32.304216,21.1
2025-12-05T12:13:33.287911,21.1
2025-12-05T12:13:34.296556,21.1
2025-12-05T12:13:35.281208,21.1
2025-12-05T12:13:36.282072,21.1
2025-12-05T12:13:37.308081,21.1
2025-12-05T12:13:38.293660,21.1
2025-12-05T12:13:39.325510,21.1
2025-12-05T12:13:40.281998,21.1
2025-12-05T12:13:41.327172,21.1
2025-12-05T12:13:42.312927,21.1
2025-12-05T12:13:43.281432,21.1
2025-12-05T12:13:44.281826,21.1
2025-12-05T12:13:45.281380,21.1
2025-12-05T12:13:46.314919,21.1
2025-12-05T12:13:47.298601,21.1
2025-12-05T12:13:48.282596,21.1
2025-12-05T12:13:49.316591,21.1
2025-12-05T12:13:50.369475,21.1
2025-12-05T12:13:51.285483,21.1
2025-12-05T12:13:52.303069,21.1
2025-12-05T12:13:53.319359,21.1
2025-12-05T12:13:54.281124,21.1
2025-12-05T12:13:55.305731,21.1
2025-12-05T12:13:56.292942,21.1
2025-12-05T12:13:57.281569,21.1
2025-12-05T12:13:58.291590,21.1
2025-12-05T12:13:59.292750,21.1
2025-12-05T12:14:00.293277,21.1
2025-12-05T12:14:01.294881,21.1
2025-12-05T12:14:02.296149,21.1
2025-12-05T12:14:03.281202,21.1
2025-12-05T12:14:04.311890,21.1
2025-12-05T12:14:05.282095,21.1
2025-12-05T12:14:06.297506,21.1
2025-12-05T12:14:07.331154,21.1
2025-12-05T12:14:08.281401,21.2
2025-12-05T12:14:09.333763,21.2
2025-12-05T12:14:10.317460,21.2
2025-12-05T12:14:11.286385,21.2
2025-12-05T12:14:12.318961,21.2
2025-12-05T12:14:13.285238,21.2
2025-12-05T12:14:14.289294,21.2
2025-12-05T12:14:15.321511,21.2
2025-12-05T12:14:16.289000,21.2
2025-12-05T12:14:17.324838,21.2
2025-12-05T12:14:18.308325,21.2
2025-12-05T12:14:19.291458,21.2
2025-12-05T12:14:20.281181,21.2
2025-12-05T12:14:21.281334,21.2
2025-12-05T12:14:22.327449,21.2
2025-12-05T12:14:23.281209,21.2
2025-12-05T12:14:24.346232,21.2
2025-12-05T12:14:25.281715,21.2
2025-12-05T12:14:26.349883,21.2
2025-12-05T12:14:27.313951,21.2
2025-12-05T12:14:28.281742,21.2
2025-12-05T12:14:29.332770,21.2
2025-12-05T12:14:30.352540,21.2
2025-12-05T12:14:31.284314,21.2
2025-12-05T12:14:32.282625,21.2
2025-12-05T12:14:33.286530,21.2
2025-12-05T12:14:34.286874,21.2
2025-12-05T12:14:35.281094,21.2
2025-12-05T12:14:36.339144,21.2
2025-12-05T12:14:37.281960,21.2
2025-12-05T12:14:38.281887,21.2
2025-12-05T12:14:39.290297,21.2
2025-12-05T12:14:40.281167,21.2
2025-12-05T12:14:41.292290,21.2
2025-12-05T12:14:42.281248,21.2
2025-12-05T12:14:43.295627,21.2
2025-12-05T12:14:44.345972,21.2
2025-12-05T12:14:45.281990,21.2
2025-12-05T12:14:46.297365,21.2
2025-12-05T12:14:47.281367,21.2
2025-12-05T12:14:48.281385,21.2
2025-12-05T12:14:49.280883,21.2
2025-12-05T12:14:50.333794,21.2
2025-12-05T12:14:51.283959,21.2
2025-12-05T12:14:52.281672,21.2
2025-12-05T12:14:53.302888,21.2
2025-12-05T12:14:54.287930,21.2
2025-12-05T12:14:55.286753,21.2
2025-12-05T12:14:56.288706,21.1
2025-12-05T12:14:57.323047,21.1
2025-12-05T12:14:58.290304,21.2
2025-12-05T12:14:59.281321,21.1
2025-12-05T12:15:00.281311,21.2
2025-12-05T12:15:01.281066,21.2
2025-12-05T12:15:02.281518,21.2
2025-12-05T12:15:03.294147,21.1
2025-12-05T12:15:04.346288,21.1
2025-12-05T12:15:05.281052,21.1
2025-12-05T12:15:06.281399,21.1
2025-12-05T12:15:07.281130,21.1
2025-12-05T12:15:08.281175,21.1
2025-12-05T12:15:09.284090,21.1
2025-12-05T12:15:10.283162,21.1
2025-12-05T12:15:11.287101,21.1
2025-12-05T12:15:12.318225,21.1
2025-12-05T12:15:13.285660,21.1
2025-12-05T12:15:14.285197,21.1
2025-12-05T12:15:15.304876,21.1
2025-12-05T12:15:16.287784,21.1
2025-12-05T12:15:17.281294,21.1
2025-12-05T12:15:18.281586,21.1
2025-12-05T12:15:19.292277,21.1
2025-12-05T12:15:20.281683,21.1
2025-12-05T12:15:21.281356,21.1
2025-12-05T12:15:22.325118,21.1
2025-12-05T12:15:23.285961,21.1
2025-12-05T12:15:24.344734,21.1
